Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0936672124273331,1.63489999316369E-10,0.535231939309104,0,0,0,279.343309739745,34.9281247022782,-8.13293010176962E-09,-2.07006228380223,35.7141019454583,-2.13551763088024E-09,12.2415875307062,0,0,0,0,0,0,package://HandAssembly4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/base_link.STL,,HandBase-1;FingerAssembly-2/FingerBase-1;FingerAssembly-3/FingerBase-1;FingerAssembly-1/FingerBase-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_1,0.0582113837489129,4.16223523425074E-08,4.90502332084475E-08,0,0,0,2.62291219261925,0.00599150094431563,2.04568885529762E-08,1.56227476558711E-08,0.0153590426966864,-1.69856752757797E-07,0.0188065552886401,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_1.STL,,FingerAssembly-3/FingerArm1-1,Coordinate System2,Axis7,fin1,revolute,0.330644040002145,0.175,1.18915890545841,3.14159265358979,-0.582486579623969,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_1_1,0.109230114297313,-7.35774630111763E-08,5.31188101282609E-08,0,0,0,2.39970051632588,0.00501929933650507,-2.25989622798604E-08,4.81371943453209E-08,0.0157117164030385,2.29259649253453E-09,0.0126583434717946,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_1_1.STL,,FingerAssembly-3/FingerArm2-1,Coordinate System3,Axis8,fin1_1,revolute,0.179528059776071,0,0,-1.5707963267949,0,0,finger_1,-5.98131790295024E-05,0,-0.999999998211192,0,0,0,2,,,,,,,,
finger_1_1_1,0.0632003612386414,3.99101890424802E-08,-4.97915925157244E-09,0,0,0,1.21959091463891,0.0027989422341273,1.18563005691453E-09,1.03187407648895E-09,0.00236364981492399,9.47605149827563E-12,0.00235597916354427,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_1_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_1_1_1.STL,,FingerAssembly-3/EndEffector-1,Coordinate System4,Axis9,fin1_1_1,revolute,0.244804461442329,0,0,0,0,0,finger_1_1,5.98131790298099E-05,0,0.999999998211192,0,0,0,2,,,,,,,,
finger_1_eef,0.0225328824570412,-4.97915925157244E-09,-4.00492903285254E-08,0,0,0,1.21959091463891,0.0027989422341273,1.03187407649125E-09,-1.18563005723979E-09,0.00235597916354427,-9.47605149824953E-12,0.00236364981492399,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_1_eef.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_1_eef.STL,,FingerAssembly-3/EndEffector-1,Coordinate System13,Axis9,fin1_eef,fixed,0.0406674787816002,0,0,1.5707963267949,0,0,finger_1_1_1,0,0,0,,,,,,,,,,,,
finger_2,0.0582113997401504,7.2059313627193E-08,-1.65269150809166E-07,0,0,0,2.62291216939469,0.0059916892852438,2.54236843542237E-08,-6.34236507666107E-08,0.0153587785697811,-1.78838763283136E-07,0.0188064904153421,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_2.STL,,FingerAssembly-2/FingerArm1-1,Coordinate System5,Axis4,fin2,revolute,0.365640976139111,0,0.74425746223111,3.14159265358979,0.436413643527903,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_2_1,0.109229816295533,4.52412628471066E-08,2.04530046343798E-07,0,0,0,2.39969352647452,0.00501928036081044,-3.5054689130295E-08,-2.33595141983811E-09,0.0157115485437255,1.64460168230235E-09,0.012658197491362,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_2_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_2_1.STL,,FingerAssembly-2/FingerArm2-1,Coordinate System6,Axis5,fin2_1,revolute,0.179528059776071,0,0,-1.5707963267949,0,0,finger_2,0,0,-1,0,0,0,2,,,,,,,,
finger_2_1_1,0.0632003108555788,9.00354358845945E-08,-5.92834292767463E-09,0,0,0,1.21958916107902,0.00279893854396813,2.53112184423615E-09,1.00694975972186E-09,0.00236365044723376,1.55441919145354E-11,0.00235597934140297,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_2_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_2_1_1.STL,,FingerAssembly-2/EndEffector-1,Coordinate System7,Axis6,fin2_1_1,revolute,0.244804461442329,0,0,0,0,0,finger_2_1,0,0,1,0,0,0,2,,,,,,,,
finger_2_eef,0.0225328320739786,-5.92834292767463E-09,-9.01745371706397E-08,0,0,0,1.21958916107902,0.00279893854396813,1.00694975979725E-09,-2.53112184418194E-09,0.00235597934140297,-1.55441919151448E-11,0.00236365044723376,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_2_eef.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_2_eef.STL,,FingerAssembly-2/EndEffector-1,Coordinate System12,Axis6,fin2_eef,fixed,0.0406674787816002,0,0,1.5707963267949,0,0,finger_2_1_1,0,0,0,,,,,,,,,,,,
finger_3,0.0582113837489124,4.16223523425074E-08,4.90502328753806E-08,0,0,0,2.62291219261925,0.00599150094431563,2.04568885804215E-08,1.56227476638942E-08,0.0153590426966865,-1.69856752749064E-07,0.0188065552886401,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_3.STL,,FingerAssembly-1/FingerArm1-1,Coordinate System8,Axis1,fin3,revolute,0.330644040002145,-0.175,1.18915890545841,3.14159265358979,-0.58248657962397,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_3_1,0.109230136263842,-9.75973253325435E-08,1.96832685372961E-07,0,0,0,2.39970180172285,0.00501928275652698,-1.3940007970864E-08,6.66458995034566E-11,0.0157116553919968,4.10856664670477E-10,0.0126583003760249,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_3_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_3_1.STL,,FingerAssembly-1/FingerArm2-1,Coordinate System9,Axis2,fin3_1,revolute,0.179528059776071,0,0,-1.5707963267949,0,0,finger_3,0,0,-1,0,0,0,2,,,,,,,,
finger_3_1_1,0.0632003618512376,4.0027509862206E-08,-4.9791595291282E-09,0,0,0,1.21959090651552,0.00279894205576526,1.24368845267914E-09,1.76726335114814E-09,0.00236364600043913,2.18626444917931E-11,0.0023559755663535,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_3_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_3_1_1.STL,,FingerAssembly-1/EndEffector-1,Coordinate System10,Axis3,fin3_1_1,revolute,0.244804461442329,0,0,0,0,0,finger_3_1,0,0,-1,0,0,0,2,,,,,,,,
finger_3_eef,0.0225328830696374,-4.9791595291282E-09,-4.01666112592736E-08,0,0,0,1.21959090651552,0.00279894205576526,1.76726335122045E-09,-1.24368845289598E-09,0.0023559755663535,-2.18626444909685E-11,0.00236364600043913,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_3_eef.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly4/meshes/finger_3_eef.STL,,FingerAssembly-1/EndEffector-1,Coordinate System11,Axis3,fin3_eef,fixed,0.0406674787816004,0,0,1.5707963267949,0,0,finger_3_1_1,0,0,0,,,,,,,,,,,,
